Place	Gender	Occupation	Area
Abu Dhabi	Female	Journalist	Asia
Abu Dhabi	Female	Developer	Asia
Algiers	Male	Journalist	Africa
Algiers	Male	Journalist	Africa
Algiers	Female	Journalist	Africa
Amman	Female	Journalist	Asia
Amman	Male	Developer	Asia
Amman	Female	Journalist	Asia
Amman	Male	Developer	Asia
Amman	Female	Developer	Asia
Amman	Male	Journalist	Asia
Amsterdam	Female	Developer	Europe
Amsterdam	Female	Journalist	Europe
Atlanta	Male	Developer	America
Atlanta	Male	Journalist	America
Barcelona	Female	Developer	Europe
Beijing	Male	Journalist	Asia
Beirut	Male	Developer	Asia
Berlin	Female	Developer	Europe
Boston	Male	Developer	America
Boston	Female	Journalist	America
Boston	Female	Journalist	America
Bourdeaux	Male	Journalist	Europe
Brasilia	Female	Developer	America
Buenos Aires	Male	Journalist	America
Buenos Aires	Male	Journalist	America
Cairo	Female	Journalist	Asia
Calgary	Female	Journalist	America
Capetown	Male	Developer	Africa
Chicago	Male	Journalist	America
Chicago	Male	Journalist	America
Chicago	Male	Developer	America
Chicago	Male	Developer	America
Dhaka	Female	Journalist	Asia
Dubai	Female	Developer	Asia
Guatemala City	Male	Developer	America
Ioilo City	Male	Journalist	Asia
Istanbul	Male	Journalist	Asia
Johannesburg	Male	Developer	Africa
Johannesburg	Female	Journalist	Africa
Kuala Lumpur	Male	Developer	Asia
Lincoln	Male	Developer	America
London	Male	Journalist	Europe
London	Female	Journalist	Europe
London	Male	Journalist	Europe
London	Male	Developer	Europe
London	Male	Journalist	Europe
London	Female	Developer	Europe
London	Female	Journalist	Europe
London	Male	Developer	Europe
Los Angeles	Female	Developer	America
Manama	Male	Journalist	Asia
Maputo	Female	Journalist	Africa
Mazini	Female	Journalist	Africa
Mexico City	Female	Developer	America
Mexico City	Male	Journalist	America
Milan	Male	Journalist	Europe
Milan	Female	Developer	Europe
Milan	Female	Developer	Europe
Milan	Male	Journalist	Europe
Montreal	Male	Journalist	America
Moscow	Male	Developer	Asia
Muscat	Female	Journalist	Asia
Nairobi	Male	Journalist	Africa
Nairobi	Female	Journalist	Africa
Nairobi	Male	Journalist	Africa
Nairobi	Female	Journalist	Africa
New York City	Male	Developer	America
New York City	Male	Journalist	America
New York City	Male	Journalist	America
New York City	Male	Developer	America
New York City	Female	Journalist	America
Newark	Female	Journalist	America
Nottingham	Female	Journalist	Europe
Paris	Male	Journalist	Europe
Philadelphia	Female	Journalist	America
Philadelphia	Male	Journalist	America
Reyjkiavik	Male	Journalist	Europe
San Francisco	Male	Developer	America
San Francisco	Female	Journalist	America
San Francisco	Female	Journalist	America
San Francisco	Male	Journalist	America
San Jose	Female	Journalist	America
Sao Paulo	Male	Developer	America
Singapore	Male	Journalist	Asia
Stockholm	Male	Journalist	Europe
Stockholm	Male	Journalist	Europe
Sydney	Male	Developer	Australia
Taipei	Male	Journalist	Asia
Tiblisi	Female	Developer	Asia
Tiblisi	Male	Developer	Asia
Toronto	Male	Developer	America
Vancouver	Male	Journalist	America
Washington DC	Male	Journalist	America
Washington DC	Male	Journalist	America
Washington DC	Female	Developer	America
Wroclaw	Male	Journalist	Europe